Jahr;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
1978;;;257.0;;;;;170.0;;;209.0;245.0
1979;253.0;;;228.0;207.0;;169.0;;;;;
1980;;230.0;249.0;232.0;;;213.0;195.0;195.0;195.0;;197.0
1981;;212.0;244.0;;206.0;;193.0;;168.0;148.0;234.0;261.0
1982;199.0;174.0;;;212.0;153.0;214.0;;180.0;197.0;271.0;268.0
1983;261.0;257.0;240.0;249.0;240.0;206.0;170.0;194.0;165.0;177.0;;209.0
1984;206.0;184.0;228.0;170.0;203.0;163.0;194.0;200.0;189.0;128.0;245.0;222.0
1985;232.0;;249.0;;223.0;;174.0;238.0;237.0;174.0;222.0;
1986;162.0;207.0;210.0;238.0;250.0;;;;185.0;;179.0;
1987;253.0;;241.0;270.0;232.0;185.0;;191.0;;235.0;226.0;
1988;267.0;188.0;214.0;215.0;292.0;163.0;;220.0;;;147.0;203.0
1989;267.0;;183.0;182.0;187.0;175.0;;376.0;181.0;170.0;;237.0
1990;232.0;245.0;189.0;236.0;;155.0;254.0;;166.0;225.0;187.0;246.0
1991;182.0;305.0;209.0;;241.0;;197.0;198.0;188.0;;239.0;239.0
1992;;235.0;215.0;221.0;192.0;143.0;173.0;220.0;181.0;121.0;;
1993;;183.0;225.0;220.0;235.0;159.0;191.0;177.0;;101.0;;195.0
1994;223.0;185.0;190.0;192.0;140.0;;158.0;174.0;234.0;210.0;;229.0
1995;215.0;223.0;208.0;230.0;229.0;180.0;168.0;;;;208.0;
1996;;;;;;;173.0;;180.0;;;
1997;200.0;155.0;274.0;234.0;230.0;193.0;180.0;217.0;156.0;235.0;247.0;
1998;;;;;213.0;98.0;;;183.0;106.0;;195.0
1999;157.0;;160.0;157.0;125.0;91.0;;164.0;211.0;204.0;168.0;187.0
2000;205.0;175.0;210.0;201.0;195.0;183.0;217.0;322.0;208.0;;202.0;262.0
2001;220.0;;188.0;204.0;196.0;143.0;;130.0;245.0;;;206.0
2002;230.0;232.0;247.0;;211.0;114.0;;172.0;172.0;224.0;212.0;
2003;241.0;206.0;;251.0;;;150.0;195.0;;164.0;236.0;173.0
2004;244.0;180.0;230.0;230.0;203.0;155.0;;210.0;181.0;200.0;248.0;
2005;;214.0;246.0;219.0;;130.0;;165.0;;;;150.0
2006;217.0;205.0;;197.0;160.0;121.0;210.0;;145.0;162.0;237.0;224.0
2007;187.0;218.0;212.0;248.0;226.0;155.0;163.0;;;189.0;150.0;238.0
2008;196.0;154.0;195.0;192.0;169.0;;172.0;180.0;178.0;;164.0;
2009;160.0;194.0;146.0;183.0;195.0;140.0;130.0;;162.0;250.0;215.0;260.0
2010;187.0;;276.0;251.0;218.0;;162.0;;215.0;176.0;214.0;219.0
2011;;168.0;177.0;209.0;168.0;148.0;181.0;205.0;194.0;223.0;206.0;188.0
2012;168.0;165.0;;;196.0;223.0;167.0;;151.0;227.0;225.0;220.0
2013;156.0;212.0;263.0;193.0;192.0;149.0;;167.0;202.0;166.0;229.0;217.0
2014;197.0;228.0;264.0;244.0;195.0;184.0;174.0;216.0;188.0;186.0;235.0;234.0
2015;249.0;240.0;296.0;231.0;212.0;155.0;212.0;204.0;164.0;209.0;232.0;274.0
2016;276.0;;281.0;243.0;225.0;174.0;192.0;224.0;175.0;187.0;201.0;229.0

