Jahr;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
1951;48.0;49.0;98.0;61.0;23.0;34.0;44.0;146.0;64.0;89.0;47.0;72.0
1952;100.0;24.0;28.0;23.0;16.0;35.0;25.0;19.0;59.0;105.0;56.0;80.0
1953;100.0;102.0;50.0;86.0;15.0;16.0;2.0;31.0;113.0;91.0;124.0;127.0
1954;31.0;58.0;39.0;50.0;20.0;26.0;65.0;34.0;53.0;90.0;135.0;40.0
1955;21.0;10.0;70.0;75.0;3.0;2.0;53.0;105.0;126.0;30.0;103.0;74.0
1956;87.0;36.0;35.0;26.0;22.0;25.0;35.0;29.0;83.0;173.0;131.0;78.0
1957;104.0;49.0;56.0;73.0;32.0;33.0;20.0;65.0;54.0;144.0;62.0;100.0
1958;122.0;59.0;91.0;79.0;22.0;30.0;51.0;44.0;86.0;93.0;90.0;28.0
1959;72.0;92.0;109.0;38.0;36.0;52.0;26.0;107.0;100.0;102.0;47.0;74.0
1960;100.0;66.0;56.0;74.0;38.0;22.0;40.0;31.0;98.0;18.0;21.0;82.0
1961;50.0;80.0;50.0;10.0;40.0;50.0;23.0;83.0;91.0;129.0;69.0;24.0
1962;40.0;70.0;10.0;20.0;50.0;10.0;44.0;32.0;170.0;90.0;60.0;40.0
1963;82.0;29.0;66.0;24.0;61.0;25.0;41.0;71.0;111.0;100.0;70.0;30.0
1964;54.0;26.0;42.0;20.0;20.0;40.0;30.0;60.0;50.0;150.0;30.0;50.0
1965;76.0;18.0;20.0;34.0;14.0;24.0;21.0;94.0;74.0;83.0;47.0;30.0
1966;35.0;11.0;21.0;32.0;30.0;37.0;74.0;37.0;43.0;38.0;110.0;58.0
1967;32.0;44.0;30.0;46.0;22.0;24.0;13.0;82.0;59.0;39.0;50.0;50.0
1968;49.0;29.0;40.0;23.0;21.0;40.0;34.0;43.0;98.0;51.0;66.0;56.0
1969;19.0;29.0;60.0;26.0;11.0;25.0;64.0;94.0;116.0;74.0;58.0;59.0
1970;19.0;16.0;44.0;22.0;51.0;35.0;45.0;48.0;76.0;121.0;28.0;93.0
1971;51.0;80.0;41.0;58.0;94.0;17.0;93.0;79.0;84.0;41.0;57.0;65.0
1972;50.0;80.0;92.0;70.0;6.0;60.0;52.0;92.0;86.0;149.0;68.0;100.0
1973;89.0;106.0;59.0;51.0;85.0;70.0;54.0;66.0;61.0;59.0;44.0;100.0
1974;85.0;79.0;50.0;53.0;83.0;84.0;56.0;105.0;71.0;70.0;42.0;126.0
1975;50.0;44.0;61.0;35.0;17.0;31.0;16.0;28.0;113.0;74.0;99.0;69.0
1976;58.0;65.0;53.0;34.0;68.0;38.0;42.0;132.0;38.0;88.0;81.0;51.0
1977;81.0;35.0;46.0;47.0;13.0;36.0;41.0;88.0;108.0;81.0;92.0;93.0
1978;62.0;25.0;45.0;32.0;77.0;40.0;34.0;24.0;16.0;62.0;89.0;14.0
