Jahr;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
1979;61.0;64.0;88.0;18.0;43.0;42.0;81.0;52.0;200.0;33.0;85.0;39.0
1980;60.0;37.0;33.0;55.0;74.0;17.0;44.0;82.0;81.0;82.0;93.0;114.0
1981;78.0;109.0;34.0;41.0;24.0;8.0;44.0;47.0;37.0;69.0;96.0;52.0
1982;59.0;38.0;76.0;64.0;16.0;9.0;43.0;43.0;70.0;55.0;98.0;55.0
1983;59.0;52.0;107.0;19.0;18.0;49.0;49.0;56.0;56.0;39.0;31.0;81.0
1984;43.0;88.0;56.0;44.0;59.0;32.0;30.0;54.0;44.0;36.0;67.0;78.0
1985;23.0;104.0;118.0;39.0;25.0;15.0;100.0;26.0;53.0;131.0;56.0;27.0
1986;44.0;14.0;46.0;44.0;20.0;51.0;66.0;19.0;77.0;142.0;82.0;61.0
1987;66.0;46.0;74.0;90.0;41.0;5.0;34.0;30.0;52.0;226.0;63.0;71.0
1988;38.0;85.0;63.0;32.0;24.0;105.0;44.0;39.0;51.0;46.0;39.0;84.0
1989;115.0;60.0;32.0;69.0;49.0;42.0;43.0;37.0;173.0;65.0;35.0;77.0
1990;66.0;52.0;85.0;50.0;16.0;17.0;53.0;84.0;84.0;87.0;35.0;107.0
1991;101.0;22.0;31.0;50.0;39.0;5.0;30.0;97.0;73.0;87.0;61.0;104.0
1992;117.0;97.0;49.0;43.0;42.0;42.0;25.0;46.0;57.0;54.0;64.0;91.0
1993;116.0;61.0;86.0;36.0;36.0;29.0;23.0;71.0;24.0;53.0;78.0;68.0
1994;35.0;42.0;125.0;46.0;31.0;28.0;96.0;50.0;56.0;80.0;51.0;115.0
1995;73.0;25.0;77.0;33.0;32.0;26.0;23.0;44.0;36.0;26.0;41.0;64.0
1996;77.0;43.0;40.0;31.0;7.0;29.0;47.0;46.0;75.0;81.0;66.0;31.0
1997;39.0;54.0;105.0;36.0;58.0;35.0;49.0;65.0;92.0;44.0;41.0;57.0
1998;37.0;76.0;67.0;12.0;25.0;6.0;13.0;92.0;39.0;110.0;66.0;68.0
1999;24.0;80.0;57.0;29.0;52.0;44.0;54.0;54.0;88.0;43.0;99.0;44.0
2000;51.0;53.0;95.0;18.0;73.0;7.0;16.0;76.0;103.0;113.0;24.0;36.0
2001;43.0;50.0;33.0;40.0;36.0;25.0;23.0;55.0;120.0;24.0;119.0;64.0
2002;54.0;32.0;34.0;80.0;49.0;12.0;9.0;63.0;44.0;42.0;25.0;73.0
2003;19.0;118.0;56.0;40.0;16.0;48.0;30.0;44.0;71.0;110.0;89.0;30.0
2004;67.0;19.0;48.0;78.0;23.0;5.0;36.0;27.0;79.0;87.0;96.0;101.0
2005;85.0;67.0;41.0;55.0;55.0;38.0;30.0;61.0;108.0;107.0;64.0;102.0
2006;64.0;45.0;46.0;55.0;55.0;37.0;71.0;48.0;41.0;63.0;119.0;80.0
2007;85.0;45.0;69.0;37.0;28.0;7.0;4.0;58.0;46.0;108.0;66.0;78.0
2008;50.0;54.0;10.0;31.0;25.0;20.0;28.0;42.0;76.0;129.0;70.0;76.0
2009;64.0;31.0;53.0;29.0;36.0;37.0;34.0;97.0;39.0;125.0;51.0;43.0
2010;43.0;12.0;36.0;34.0;20.0;8.0;12.0;44.0;84.0;70.0;58.0;70.0
2011;112.0;101.0;70.0;80.0;28.0;28.0;12.0;37.0;122.0;64.0;157.0;58.0
2012;64.0;72.0;58.0;16.0;20.0;7.0;18.0;32.0;77.0;35.0;93.0;42.0
2013;22.0;46.0;32.0;26.0;61.0;43.0;54.0;74.0;81.0;32.0;60.0;51.0
2014;37.0;14.0;46.0;51.0;6.0;8.0;75.0;36.0;66.0;82.0;46.0;70.0

