period,Industry,GDP
2016_Q4,Oil and gas extraction,267.2
2017_Q1,Oil and gas extraction,299.5
2017_Q2,Oil and gas extraction,288.1
2017_Q3,Oil and gas extraction,288.3
2017_Q4,Oil and gas extraction,336.3
2018_Q1,Oil and gas extraction,369.9
2018_Q2,Oil and gas extraction,393.2
2018_Q3,Oil and gas extraction,431.2
2018_Q4,Oil and gas extraction,427.0
2019_Q1,Oil and gas extraction,382.8
2019_Q2,Oil and gas extraction,382.4
2019_Q3,Oil and gas extraction,363.3
2019_Q4,Oil and gas extraction,372.3
2020_Q1,Oil and gas extraction,313.4
2020_Q2,Oil and gas extraction,176.5
2015_Q1,"Mining, except oil and gas",111.6
2015_Q2,"Mining, except oil and gas",107.4
2015_Q3,"Mining, except oil and gas",106.1
2015_Q4,"Mining, except oil and gas",99.7
2016_Q1,"Mining, except oil and gas",93.1
2016_Q2,"Mining, except oil and gas",93.3
2016_Q3,"Mining, except oil and gas",96.0
2016_Q4,"Mining, except oil and gas",97.9
2017_Q1,"Mining, except oil and gas",103.5
2017_Q2,"Mining, except oil and gas",103.5
2017_Q3,"Mining, except oil and gas",101.6
2017_Q4,"Mining, except oil and gas",106.8
2018_Q1,"Mining, except oil and gas",108.3
2018_Q2,"Mining, except oil and gas",112.0
2018_Q3,"Mining, except oil and gas",109.2
2018_Q4,"Mining, except oil and gas",110.7
2019_Q1,"Mining, except oil and gas",111.1
2019_Q2,"Mining, except oil and gas",115.1
2019_Q3,"Mining, except oil and gas",110.7
2019_Q4,"Mining, except oil and gas",111.3
2020_Q1,"Mining, except oil and gas",110.0
2020_Q2,"Mining, except oil and gas",95.3
2015_Q1,Support activities for mining,155.0
2015_Q2,Support activities for mining,126.3
2015_Q3,Support activities for mining,109.7
2015_Q4,Support activities for mining,92.2
2016_Q1,Support activities for mining,64.7
2016_Q2,Support activities for mining,56.2
2016_Q3,Support activities for mining,58.7
2016_Q4,Support activities for mining,61.1
2017_Q1,Support activities for mining,79.0
2017_Q2,Support activities for mining,88.1
2017_Q3,Support activities for mining,86.9
2017_Q4,Support activities for mining,90.9
2018_Q1,Support activities for mining,93.6
2018_Q2,Support activities for mining,97.3
2018_Q3,Support activities for mining,96.5
2018_Q4,Support activities for mining,93.2
2019_Q1,Support activities for mining,93.2
2019_Q2,Support activities for mining,96.3
2019_Q3,Support activities for mining,95.2
2019_Q4,Support activities for mining,86.1
2020_Q1,Support activities for mining,86.5
2020_Q2,Support activities for mining,57.4
2015_Q1,Utilities,546.5
2015_Q2,Utilities,519.0
2015_Q3,Utilities,506.7
2015_Q4,Utilities,482.8
2016_Q1,Utilities,469.1
2016_Q2,Utilities,473.2
2016_Q3,Utilities,487.4
2016_Q4,Utilities,477.6
2017_Q1,Utilities,471.0
2017_Q2,Utilities,496.1
2017_Q3,Utilities,482.6
2017_Q4,Utilities,493.3
2018_Q1,Utilities,514.4
2018_Q2,Utilities,519.9
2018_Q3,Utilities,511.2
2018_Q4,Utilities,519.7
2019_Q1,Utilities,514.3
2019_Q2,Utilities,501.1
2019_Q3,Utilities,500.1
2019_Q4,Utilities,497.4
2020_Q1,Utilities,481.2
2020_Q2,Utilities,478.4
2015_Q1,Construction,1321.7
2015_Q2,Construction,1389.7
2015_Q3,Construction,1412.3
2015_Q4,Construction,1420.7
2016_Q1,Construction,1453.4
2016_Q2,Construction,1477.3
2016_Q3,Construction,1501.6
2016_Q4,Construction,1547.0
2017_Q1,Construction,1565.9
2017_Q2,Construction,1568.7
2017_Q3,Construction,1562.8
2017_Q4,Construction,1585.6
2018_Q1,Construction,1621.0
2018_Q2,Construction,1658.8
2018_Q3,Construction,1659.6
2018_Q4,Construction,1633.0
2019_Q1,Construction,1667.4
2019_Q2,Construction,1678.0
2019_Q3,Construction,1695.8
2019_Q4,Construction,1718.7
2020_Q1,Construction,1775.9
2020_Q2,Construction,1709.9
2015_Q1,Manufacturing,5731.6
2015_Q2,Manufacturing,5760.8
2015_Q3,Manufacturing,5742.7
2015_Q4,Manufacturing,5590.3
2016_Q1,Manufacturing,5492.4
2016_Q2,Manufacturing,5538.6
2016_Q3,Manufacturing,5566.5
2016_Q4,Manufacturing,5616.0
2017_Q1,Manufacturing,5716.8
2017_Q2,Manufacturing,5702.4
2017_Q3,Manufacturing,5760.6
2017_Q4,Manufacturing,5941.9
2018_Q1,Manufacturing,6071.7
2018_Q2,Manufacturing,6170.2
2018_Q3,Manufacturing,6282.9
2018_Q4,Manufacturing,6312.4
2019_Q1,Manufacturing,6287.6
2019_Q2,Manufacturing,6290.2
2019_Q3,Manufacturing,6249.0
2019_Q4,Manufacturing,6210.2
2020_Q1,Manufacturing,6116.3
2020_Q2,Manufacturing,5333.4
2015_Q1,Durable goods,2908.7
2015_Q2,Durable goods,2917.8
2015_Q3,Durable goods,2920.6
2015_Q4,Durable goods,2864.6
2016_Q1,Durable goods,2843.2
2016_Q2,Durable goods,2837.0
2016_Q3,Durable goods,2848.3
2016_Q4,Durable goods,2861.4
2017_Q1,Durable goods,2883.1
2017_Q2,Durable goods,2887.8
2017_Q3,Durable goods,2928.4
2017_Q4,Durable goods,3001.7
2018_Q1,Durable goods,3059.6
2018_Q2,Durable goods,3114.3
2018_Q3,Durable goods,3196.5
2018_Q4,Durable goods,3246.7
2019_Q1,Durable goods,3269.4
2019_Q2,Durable goods,3243.6
2019_Q3,Durable goods,3222.5
2019_Q4,Durable goods,3190.6
2020_Q1,Durable goods,3126.1
2020_Q2,Durable goods,2693.9
2015_Q1,Wood products,100.4
2015_Q2,Wood products,99.7
2015_Q3,Wood products,101.9
2015_Q4,Wood products,101.9
2016_Q1,Wood products,103.9
2016_Q2,Wood products,104.2
2016_Q3,Wood products,105.1
2016_Q4,Wood products,107.8
2017_Q1,Wood products,112.0
2017_Q2,Wood products,110.7
2017_Q3,Wood products,110.1
2017_Q4,Wood products,115.4
2018_Q1,Wood products,119.6
2018_Q2,Wood products,120.6
2018_Q3,Wood products,122.1
2018_Q4,Wood products,117.7
2019_Q1,Wood products,117.7
2019_Q2,Wood products,116.2
2019_Q3,Wood products,117.6
2019_Q4,Wood products,118.7
2020_Q1,Wood products,118.7
2020_Q2,Wood products,111.9
2015_Q1,Nonmetallic mineral products,116.8
2015_Q2,Nonmetallic mineral products,117.1
2015_Q3,Nonmetallic mineral products,120.9
2015_Q4,Nonmetallic mineral products,121.6
2016_Q1,Nonmetallic mineral products,124.2
2016_Q2,Nonmetallic mineral products,124.5
2016_Q3,Nonmetallic mineral products,124.1
2016_Q4,Nonmetallic mineral products,125.7
2017_Q1,Nonmetallic mineral products,126.7
2017_Q2,Nonmetallic mineral products,128.1
2017_Q3,Nonmetallic mineral products,128.4
2017_Q4,Nonmetallic mineral products,131.7
2018_Q1,Nonmetallic mineral products,130.0
2018_Q2,Nonmetallic mineral products,133.5
2018_Q3,Nonmetallic mineral products,133.6
2018_Q4,Nonmetallic mineral products,133.9
2019_Q1,Nonmetallic mineral products,135.1
2019_Q2,Nonmetallic mineral products,137.4
2019_Q3,Nonmetallic mineral products,139.4
2019_Q4,Nonmetallic mineral products,137.3
2020_Q1,Nonmetallic mineral products,137.1
2020_Q2,Nonmetallic mineral products,135.8
2015_Q1,Primary metals,246.2
2015_Q2,Primary metals,230.8
2015_Q3,Primary metals,221.1
2015_Q4,Primary metals,210.3
2016_Q1,Primary metals,202.5
2016_Q2,Primary metals,203.4
2016_Q3,Primary metals,206.3
2016_Q4,Primary metals,209.3
2017_Q1,Primary metals,216.9
2017_Q2,Primary metals,215.9
2017_Q3,Primary metals,221.0
2017_Q4,Primary metals,232.7
2018_Q1,Primary metals,243.8
2018_Q2,Primary metals,257.6
2018_Q3,Primary metals,260.8
2018_Q4,Primary metals,259.6
2019_Q1,Primary metals,250.9
2019_Q2,Primary metals,243.1
2019_Q3,Primary metals,237.6
2019_Q4,Primary metals,235.4
2020_Q1,Primary metals,237.2
2020_Q2,Primary metals,204.9
2015_Q1,Fabricated metal products,362.0
2015_Q2,Fabricated metal products,354.6
2015_Q3,Fabricated metal products,350.6
2015_Q4,Fabricated metal products,340.6
2016_Q1,Fabricated metal products,341.5
2016_Q2,Fabricated metal products,336.7
2016_Q3,Fabricated metal products,336.1
2016_Q4,Fabricated metal products,336.1
2017_Q1,Fabricated metal products,335.9
2017_Q2,Fabricated metal products,342.0
2017_Q3,Fabricated metal products,347.0
2017_Q4,Fabricated metal products,358.2
2018_Q1,Fabricated metal products,368.1
2018_Q2,Fabricated metal products,376.5
2018_Q3,Fabricated metal products,378.6
2018_Q4,Fabricated metal products,382.2
2019_Q1,Fabricated metal products,389.0
2019_Q2,Fabricated metal products,385.4
2019_Q3,Fabricated metal products,386.0
2019_Q4,Fabricated metal products,385.3
2020_Q1,Fabricated metal products,382.2
2020_Q2,Fabricated metal products,340.0
2015_Q1,Machinery,384.7
2015_Q2,Machinery,383.2
2015_Q3,Machinery,381.3
2015_Q4,Machinery,367.2
2016_Q1,Machinery,356.6
2016_Q2,Machinery,350.5
2016_Q3,Machinery,344.6
2016_Q4,Machinery,351.0
2017_Q1,Machinery,355.6
2017_Q2,Machinery,362.4
2017_Q3,Machinery,369.0
2017_Q4,Machinery,383.5
2018_Q1,Machinery,393.8
2018_Q2,Machinery,409.1
2018_Q3,Machinery,415.8
2018_Q4,Machinery,418.5
2019_Q1,Machinery,421.1
2019_Q2,Machinery,424.4
2019_Q3,Machinery,419.1
2019_Q4,Machinery,413.2
2020_Q1,Machinery,409.2
2020_Q2,Machinery,375.4
2015_Q1,Computer and electronic products,344.4
2015_Q2,Computer and electronic products,355.3
2015_Q3,Computer and electronic products,349.4
2015_Q4,Computer and electronic products,344.3
2016_Q1,Computer and electronic products,336.9
2016_Q2,Computer and electronic products,338.1
2016_Q3,Computer and electronic products,343.6
2016_Q4,Computer and electronic products,347.4
2017_Q1,Computer and electronic products,348.3
2017_Q2,Computer and electronic products,352.1
2017_Q3,Computer and electronic products,359.4
2017_Q4,Computer and electronic products,365.4
2018_Q1,Computer and electronic products,368.5
2018_Q2,Computer and electronic products,376.3
2018_Q3,Computer and electronic products,378.5
2018_Q4,Computer and electronic products,386.9
2019_Q1,Computer and electronic products,385.1
2019_Q2,Computer and electronic products,392.1
2019_Q3,Computer and electronic products,391.7
2019_Q4,Computer and electronic products,390.1
2020_Q1,Computer and electronic products,394.4
2020_Q2,Computer and electronic products,395.3
2015_Q1,"Electrical equipment, appliances, and components",128.0
2015_Q2,"Electrical equipment, appliances, and components",125.7
2015_Q3,"Electrical equipment, appliances, and components",125.4
2015_Q4,"Electrical equipment, appliances, and components",124.9
2016_Q1,"Electrical equipment, appliances, and components",122.9
2016_Q2,"Electrical equipment, appliances, and components",123.8
2016_Q3,"Electrical equipment, appliances, and components",125.7
2016_Q4,"Electrical equipment, appliances, and components",124.4
2017_Q1,"Electrical equipment, appliances, and components",123.2
2017_Q2,"Electrical equipment, appliances, and components",121.0
2017_Q3,"Electrical equipment, appliances, and components",120.2
2017_Q4,"Electrical equipment, appliances, and components",123.7
2018_Q1,"Electrical equipment, appliances, and components",127.9
2018_Q2,"Electrical equipment, appliances, and components",131.5
2018_Q3,"Electrical equipment, appliances, and components",134.3
2018_Q4,"Electrical equipment, appliances, and components",134.0
2019_Q1,"Electrical equipment, appliances, and components",137.2
2019_Q2,"Electrical equipment, appliances, and components",136.6
2019_Q3,"Electrical equipment, appliances, and components",136.2
2019_Q4,"Electrical equipment, appliances, and components",135.5
2020_Q1,"Electrical equipment, appliances, and components",136.3
2020_Q2,"Electrical equipment, appliances, and components",126.1
2015_Q1,"Motor vehicles, bodies and trailers, and parts",655.1
2015_Q2,"Motor vehicles, bodies and trailers, and parts",675.3
2015_Q3,"Motor vehicles, bodies and trailers, and parts",696.3
2015_Q4,"Motor vehicles, bodies and trailers, and parts",681.6
2016_Q1,"Motor vehicles, bodies and trailers, and parts",694.9
2016_Q2,"Motor vehicles, bodies and trailers, and parts",700.2
2016_Q3,"Motor vehicles, bodies and trailers, and parts",704.5
2016_Q4,"Motor vehicles, bodies and trailers, and parts",703.4
2017_Q1,"Motor vehicles, bodies and trailers, and parts",704.0
2017_Q2,"Motor vehicles, bodies and trailers, and parts",697.6
2017_Q3,"Motor vehicles, bodies and trailers, and parts",688.5
2017_Q4,"Motor vehicles, bodies and trailers, and parts",709.9
